iterations,avg_time_taken
50,0.044189133644104005
100,0.06665743827819824
150,0.08967082977294921
200,0.11044735431671143
250,0.1323223304748535
300,0.15777144432067872
350,0.1860424041748047
400,0.20303749561309814
450,0.22364567279815672
500,0.2467268228530884
